Player,Team,Age,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
Aaron Francis,Essendon,22,Key Defender,17,9.065,66.412,55.294,0,0,81.235,7.588,5.647,13.235,73.333,71.318,76.042,57.333,1.294,2.059,205.412,15.52,2.118,6.25,2.647,5,4.882,8.412,13.294,36.726,4.647,3.176,0,0.176,0.176,4.706,0.941,0.235,1.529,0.647,0.588,0.588,0,0,0,0,,0,,1.765,0.176,1.765,30,0.824,28.571,3,0.176,0.176,0.353,0.471,,2.941,14.245,0.824,0,4.412,7.588,3.765
Aaron Hall,North Melbourne,29,Midfielder,6,9.867,75.833,80.667,1,0.167,72.667,12,7.667,19.667,67.797,58.333,82.609,61.017,4.333,1.167,379.167,19.28,3.333,5.9,4.667,4.214,5.5,14.833,20.333,27.049,2,4,0.167,0.833,1,3.667,0,0.167,0.167,0.167,0.667,0.833,-0.167,0,0,0,,0,,3.833,0.333,0.167,,0.5,,4,0.667,0.833,1.833,0.5,36.364,4.833,23.577,0.333,0.667,1.167,18,0.667
Aaron Naughton,Western Bulldogs,20,Key Forward,23,8.287,66.87,63.087,24,1.043,85.348,7.391,3.478,10.87,68.4,60.588,85,68,2.087,0.217,188.217,17.316,1.913,5.682,2.087,5.208,5.652,5.304,10.957,51.587,1.043,1.957,0,0.13,0.13,5.739,2.304,2,0.391,1.783,1.13,0.696,0.435,2.261,2.558,0.87,38.462,0.217,25,1.826,0.522,0.174,,4.087,27.66,32,1.391,1.174,2.913,0.478,47.761,5.783,23.708,0.435,0.174,2.261,10.739,1.391
Aaron Sandilands,Fremantle,37,Ruck,6,9.2,85.333,72.167,2,0.333,76,3.333,8.833,12.167,63.014,35,73.585,27.397,1.833,0.5,56.167,4.616,2.333,5.214,2,6.083,8.333,4.5,12.833,64.935,1.167,4.167,0.833,3.5,4.333,2.167,1,0.167,0.5,0,1.5,0.833,0.667,46.333,52.158,29.5,63.669,9,30.508,2.333,0.167,0.667,,2.667,12.5,0,0,0.167,0.167,0.333,,4.5,21.951,3,0,4.5,7.833,3.333
Aaron Young,Gold Coast,27,Med Forward,2,4.9,43.5,47.5,0,0,75,6,4.5,10.5,61.905,,,57.143,2,0.5,206.5,19.667,2.5,4.2,3.5,3,3.5,7.5,11,31.818,2,2,0,0.5,0.5,2,0,0.5,0,0.5,1,0,1,0,0,0,,0,,2.5,2.5,0,,1.5,,1,0.5,0.5,2,0,,3.5,18.919,1.5,0,0.5,13,0
Adam Cerra,Fremantle,20,Med Defender,20,6.565,62.4,60.75,0,0,79.2,9.35,6.1,15.45,73.139,65.241,85.246,60.518,2.1,2.2,247.6,16.026,2.05,7.537,3.2,4.828,4.75,10.2,14.95,31.773,3.5,3.55,0.2,0.55,0.75,3.7,0.35,0.15,1,0.1,0.7,0.35,0.35,0,0,0,,0,,2.2,0.3,0.6,33.333,0.55,27.273,2,0.1,0.35,0.45,0.25,,3.25,15.738,0.9,0.1,2.65,12.9,2.2
Adam Kennedy,Greater Western Sydney,27,Med Defender,23,6.561,63.217,64.391,0,0,79.304,10.348,5.696,16.043,78.049,70.588,91.603,64.499,1.957,2.261,270.217,16.843,1.609,9.973,2.696,5.952,3.696,12.435,16.13,22.911,3.13,2.87,0.217,0.478,0.696,4.87,0.13,0.087,0.565,0.043,0.348,0.522,-0.174,0,0,0,,0,,1.87,0.087,0.87,35,0.087,,4,0.174,0.043,0.261,0.261,,2.609,11.385,0.478,0.957,1.304,11.348,0.826
Adam Saad,Essendon,25,Med Defender,22,10.786,82.636,67.773,22,1,83.364,10.864,6.773,17.636,80.155,74.895,88.591,61.598,1.864,4.727,352.5,19.987,2.545,6.929,3.5,5.039,5.773,9.818,15.591,37.026,6.227,4.682,0.045,0.818,0.864,2.818,0.091,0,0.955,0.045,0.636,0.636,0,0,0,0,,0,,3.409,0.091,1.5,27.273,0,,3,0.136,0,0.318,0.227,,2.545,11.915,1.182,2.318,3.409,14.182,2.818
Adam Tomlinson,Greater Western Sydney,26,Midfielder,25,6.776,68.8,74.88,0,0,85.32,10.96,6.04,17,68.706,66.058,73.51,64.471,2.52,1.56,255.68,15.04,2.88,5.903,3.56,4.775,6.12,11.16,17.28,35.417,2.8,4.32,0.44,1.64,2.08,6.2,0.36,0.24,0.8,0.44,0.44,0.92,-0.48,13.56,13.837,2.32,17.109,0.44,18.966,2.56,0.4,0.32,,0.76,42.105,4,0.16,0.12,0.4,0.32,40,3.6,16.071,0.96,0.04,2.12,11.88,1.36
Adam Treloar,Collingwood,26,Midfielder,24,14.533,111.417,111.875,42,1.75,79.458,13.958,18.917,32.875,70.722,55.522,81.938,42.459,3.958,0.958,323.25,9.833,4.208,7.812,4.875,6.744,13.083,18.792,31.875,41.046,2.958,9.375,1.958,4,5.958,3.958,0.083,0.208,0.125,0.208,1.125,1,0.125,0,0,0,,0,,4.875,0.583,0.125,,0.083,,10,0.417,0.167,0.958,0.75,43.478,6.208,27.19,1.417,1.042,0.667,18.583,0.125
Aidan Corr,Greater Western Sydney,25,Key Defender,8,5.7,57.5,48.375,0,0,76.25,9.625,3.125,12.75,85.294,84.416,88,75.49,0.375,3.75,246.375,19.324,2.125,6,2,6.375,2.625,6.625,9.25,28.378,3.25,1.75,0,0.375,0.375,3.375,0.25,0,0.875,0,0.375,1.25,-0.875,0,0,0,,0,,1.625,0,4.5,25,0,,0,0,0,0,0,,1.25,5.464,0.75,0,4.75,4.125,3.875
Aiden Bonar,Greater Western Sydney,20,Mid Forward,2,4.85,41.5,42,0,0,63.5,5.5,4,9.5,,,,,1,0,152,,0,,3,3.167,3,7,10,30,1,2,0.5,0.5,1,2.5,0.5,0,0.5,0,0,0,0,0,0,0,,0,,2.5,1.5,0,,0.5,,0,0,0,0,0.5,,2.5,15.625,0.5,0,0.5,13.5,0
Aidyn Johnson,Port Adelaide,22,Med Forward,1,9.2,54,52,0,0,77,4,8,12,,,,,2,0,76,,3,4,2,6,8,5,13,,0,6,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,0,,5,3,1,,0,,0,0,0,0,1,,4,17.391,0,0,2,15,1
Alex Fasolo,Carlton,27,Med Forward,3,3.067,29.667,33.333,0,0,74.667,3.667,3,6.667,60,,,55,0.333,0,95,14.25,2.333,2.857,2.333,2.857,3,3.667,6.667,45,1.333,1.667,0,0,0,2,0.333,1,0,0.333,0.667,1.667,-1,0,0,0,,0,,2.667,1.667,0.333,,2.333,,2,0.667,0,1,0.333,,2.333,14.286,0.333,0,0.667,10.333,0.333
Alex Keath,Adelaide,27,Key Defender,18,8.583,76.056,67.111,16,0.889,84.778,10.444,5.889,16.333,76.19,72.872,82.075,63.946,1.111,3.167,222.667,13.633,2.222,7.35,3.5,4.667,6.944,9.389,16.333,42.517,8.278,4.667,0,0.278,0.278,6.222,1.111,0,2.722,0.111,0.778,0.889,-0.111,0.389,0.418,0.222,,0.056,,1.667,0,3.222,22.414,0.056,,1,0.056,0,0.056,0,,2.056,8.789,1.111,0,5.222,8.278,4.556
Alex Neal-Bullen,Melbourne,23,Med Forward,14,8.05,61.429,61.571,0,0,76.071,7.714,5.429,13.143,63.587,58.333,71.053,58.696,2.857,0.286,205.286,15.62,1.643,8,2.714,4.842,4.786,8.714,13.5,35.45,1.071,3.786,0.071,1,1.071,2.571,0.071,0.571,0.214,0.286,0.643,0.429,0.214,0,0,0,,0,,4.214,1.429,0.071,,0.5,,7,0.5,0.643,1.357,0.571,36.842,4.643,22.648,0.571,0,0.714,21.214,0.143
Alex Pearce,Fremantle,24,Key Defender,11,7.436,54.818,43.818,9,0.818,91.273,5.091,5.727,10.818,70.588,67.857,73.016,47.059,0.455,2.273,117.727,10.882,1.455,7.438,2,5.409,5.909,5.364,11.273,52.419,7,3.818,0,0.091,0.091,3.273,0.818,0,1.727,0,1,0.818,0.182,0,0,0,,0,,2.182,0,3.091,23.529,0.091,,0,0,0,0.091,0,,1,4.583,0.727,0,4.182,8.636,3.091
Alex Rance,Richmond,30,Key Defender,1,4.6,36,24,0,0,68,3,3,6,,,,,0,2,45,,5,1.2,1,6,4,2,6,,6,3,0,0,0,2,0,0,2,0,1,2,-1,0,0,0,,0,,2,0,2,,0,,0,0,0,0,0,,0,0,0,0,7,6,6
Alex Sexton,Gold Coast,26,Med Forward,22,8.318,54.727,58.636,11,0.5,88.591,8.5,2.955,11.455,57.143,51.872,72.308,74.206,3.136,0.273,276.864,24.171,3.091,3.706,3.545,3.231,4.364,7.364,11.727,37.209,1.409,3.409,0.045,0.409,0.455,3.273,0.227,0.955,0.136,1.045,0.682,0.955,-0.273,0,0,0,,0,,1.909,0.682,0,,1.273,25,39,1.773,1.318,3.864,0.318,45.882,4.682,27.034,0.545,0.182,0.682,14.5,0.409
Alex Witherden,Brisbane,21,Med Defender,23,6.026,72.217,73.217,0,0,77.565,14.435,3.87,18.304,79.81,79.819,79.775,78.86,1.652,4.826,360.783,19.71,2.609,7.017,3.565,5.134,3.957,11.087,15.043,26.301,3.957,2.957,0.043,0.609,0.652,5.522,0.348,0.087,0.913,0.13,0.565,0.739,-0.174,0,0,0,,0,,1.652,0,1.304,30,0.043,,2,0.087,0.13,0.261,0,,3,11.856,1.087,0.13,2.043,9.739,1.609
Aliir Aliir,Sydney,25,Key Defender,22,11.95,77.545,64.409,8,0.364,86.727,10.091,5.636,15.727,74.855,67.117,88.71,64.162,1.773,2.955,264.409,16.812,3.364,4.676,3.136,5.014,6.5,8.864,15.364,42.308,6.773,4.318,0.818,0.682,1.5,4.727,0.864,0.136,2.636,0.045,0.955,1.591,-0.636,18.455,20.392,4.227,22.906,0.955,22.581,2,0.091,3.273,26.389,0.045,,1,0.045,0,0.227,0.227,,2.409,11.373,1.091,0,5.409,9.682,4.682
Allen Christensen,Brisbane,28,Med Forward,13,8.877,68.846,65.846,1,0.077,72.308,8.385,5.077,13.462,73.143,69.725,78.788,62.286,2,0.385,199.692,14.834,2.231,6.034,2.462,5.469,5.462,8.077,13.538,40.341,1.154,4,0.077,0.769,0.846,3.692,0.308,0.769,0.077,0.308,0.846,1,-0.154,0,0,0,,0,,3.385,2,0,,1.462,15.789,16,1.231,0.692,2,0.692,61.538,5,19.118,0.692,0.077,1,14.308,0.462
Andrew Brayshaw,Fremantle,20,Mid Forward,22,8.336,70.5,69.545,2,0.091,71.045,7.591,9.318,16.909,63.441,43.114,80,44.892,2.636,1,190.409,11.261,2.545,6.643,3.091,5.471,8.227,9.045,17.273,47.632,2.455,6.318,0.545,1.636,2.182,2.091,0.182,0.182,0.136,0.045,0.727,0.545,0.182,0,0,0,,0,,5.136,0.545,0.227,,0.409,,7,0.318,0.318,0.818,0.273,38.889,3.545,17.181,0.455,0.091,1.227,21.636,0.5
Andrew Gaff,West Coast,27,Midfielder,22,10.536,107.136,111.864,40,1.818,87.045,19.864,12.045,31.909,70.513,61.327,85.66,62.251,4.227,2.545,456.318,14.301,3.318,9.616,5.818,5.484,9.045,22.091,31.136,29.051,4,6.773,1,3.227,4.227,6.409,0.136,0.182,0.545,0.045,0.818,0.727,0.091,0,0,0,,0,,2.364,0.091,0.318,,0.045,,3,0.136,0.045,0.273,0.591,,5.227,23.046,1.227,0.682,0.636,15.273,0.227
Andrew McGrath,Essendon,21,Midfielder,23,10.017,75.043,75.826,7,0.304,78.783,10.783,10.261,21.043,70.661,59.677,82.203,51.24,2.348,2.087,270.087,12.835,2.435,8.643,3.783,5.563,6.696,14.174,20.87,32.083,3.696,5.609,0.261,1.348,1.609,3.435,0.13,0.043,0.304,0.174,0.522,0.261,0.261,0,0,0,,0,,2.609,0.261,0.478,27.273,0.043,,9,0.391,0.13,0.696,0.435,56.25,3.739,17.805,0.957,0.739,1.217,14.478,0.913
Andrew Phillips,Carlton,28,Ruck,5,12.7,92.8,80.8,1,0.2,78.8,6.6,4.8,11.4,63.158,51.515,79.167,57.895,2.6,1,185.2,16.246,3.6,3.167,1.8,6.333,6.2,4.2,10.4,59.615,3.2,1.8,2.6,0.6,3.2,3.6,2,0.8,1.2,0,2,2.4,-0.4,69,73.248,29.4,42.609,12,40.816,3.6,0.4,0.8,,1,,1,0.2,0.8,1,0.2,,5,25,3.4,0,4,13,3
Andy Otten,Adelaide,30,Med Defender,3,6.7,69.667,65.667,0,0,79,9,5.667,14.667,81.818,74.074,,61.364,0.667,2,179.667,12.25,0.667,22,1.667,8.8,5.667,9.667,15.333,36.957,4.667,3,0.333,0.333,0.667,5,0.333,0.333,0.333,0.333,2,0.333,1.667,7.333,7.857,2,27.273,0.333,,2.333,0,2.333,,0.333,,0,0,0,0,0,,2.333,12.281,1,0,3,9.667,2.667
Angus Brayshaw,Melbourne,23,Midfielder,22,11.959,83.318,87.955,3,0.136,77.545,12.636,9.545,22.182,64.549,57.914,73.333,56.967,3.727,1.818,370.364,16.697,3.545,6.256,4.727,4.692,9.409,13.136,22.545,41.734,3.227,6.227,1.273,2,3.273,3.955,0.318,0.227,0.455,0.227,1.045,0.727,0.318,0,0,0,,0,,4.364,0.636,0.227,,0.136,,9,0.409,0.318,1,0.273,40.909,3.818,18.502,0.545,0,1.136,17.909,0.545
Angus Schumacher,Carlton,20,Key Defender,1,2.6,39,43,0,0,79,10,3,13,,,,,1,3,226,,2,6.5,5,2.6,2,12,14,,2,2,0,0,0,4,0,0,1,0,1,2,-1,0,0,0,,0,,0,0,1,,0,,0,0,0,0,0,,2,10,0,0,1,10,1
